# timestamp_us,x_m,y_m,yaw_rad,position_sigma_m,yaw_sigma_rad
1327678621955959,29.1626,130.3641,0.53997,0.4860,0.2649
1327678632135930,29.1951,130.4240,0.64251,0.4094,0.2200
1327678632686919,29.2210,130.4502,0.84886,0.3199,0.1744
1327678633188922,29.2039,130.4269,1.07376,0.2371,0.1182
1327678633689915,29.1840,130.4000,1.30417,0.1780,0.0799
1327678634190904,29.1645,130.3792,1.54119,0.1222,0.0592
1327678634717911,29.1574,130.3693,1.79234,0.0971,0.0463
1327678636121905,29.0505,130.5536,1.86402,0.0784,0.0472
1327678636873899,28.9505,130.7382,1.76106,0.0676,0.0427
1327678637525899,28.8946,130.9403,1.69121,0.0593,0.0406
1327678638177896,28.8587,131.1607,1.68904,0.0547,0.0370
1327678638753879,28.8342,131.3827,1.69221,0.0532,0.0359
1327678639355884,28.8009,131.6171,1.70144,0.0528,0.0335
1327678639957884,28.7691,131.8358,1.70469,0.0513,0.0304
1327678640558871,28.7406,132.0524,1.70147,0.0551,0.0290
1327678641210872,28.7167,132.2789,1.63803,0.0548,0.0288
1327678641812876,28.7083,132.4802,1.48993,0.0510,0.0259
1327678642614866,28.7302,132.7298,1.47245,0.0516,0.0245
1327678643416856,28.7526,132.9879,1.47309,0.0490,0.0223
1327678644118854,28.7834,133.2644,1.46818,0.0479,0.0221
1327678644820849,28.8104,133.5363,1.46844,0.0529,0.0225
1327678645522847,28.8334,133.7928,1.45506,0.0530,0.0204
1327678646224844,28.8620,134.0674,1.45596,0.0542,0.0218
1327678646926842,28.8952,134.3493,1.44041,0.0583,0.0233
1327678647528844,28.9511,134.5823,1.23341,0.0571,0.0235
1327678648230842,29.0606,134.8258,1.01925,0.0607,0.0241
1327678648731831,29.1295,134.9727,0.80127,0.0630,0.0286
1327678649283839,29.2730,135.1181,0.66228,0.0632,0.0288
1327678649784827,29.4417,135.2598,0.66741,0.0602,0.0293
1327678650286837,29.6237,135.4234,0.67273,0.0611,0.0283
1327678650787827,29.8023,135.5882,0.60943,0.0638,0.0297
1327678651289834,29.9920,135.7464,0.55947,0.0679,0.0336
1327678651790825,30.1599,135.9280,0.56966,0.0695,0.0397
1327678652291816,30.3350,136.1002,0.56942,0.0719,0.0415
1327678652793824,30.5182,136.2633,0.55102,0.0742,0.0384
1327678653294812,30.7039,136.4183,0.51173,0.0699,0.0336
1327678653796821,30.8922,136.5708,0.51112,0.0680,0.0330
1327678654297817,31.0870,136.7251,0.50358,0.0635,0.0348
1327678654798809,31.2804,136.8795,0.50991,0.0673,0.0343
1327678655300811,31.4773,137.0277,0.48059,0.0670,0.0334
1327678655801806,31.6785,137.1710,0.47267,0.0669,0.0313
1327678656303816,31.8876,137.2841,0.46732,0.0647,0.0293
1327678656804809,32.0983,137.3924,0.47085,0.0628,0.0265
1327678657305797,32.3074,137.5034,0.47127,0.0603,0.0257
1327678657807805,32.5223,137.6157,0.47849,0.0603,0.0247
1327678658308792,32.7364,137.7276,0.47920,0.0594,0.0226
1327678658810801,32.9494,137.8416,0.48039,0.0571,0.0218
1327678659311795,33.1643,137.9467,0.40428,0.0564,0.0208
1327678659812785,33.3905,138.0443,0.40261,0.0578,0.0202
1327678660314795,33.6143,138.1401,0.40221,0.0565,0.0201
1327678660815784,33.8344,138.2381,0.40273,0.0553,0.0192
1327678661317789,34.0553,138.3300,0.40328,0.0565,0.0185
1327678661818783,34.2811,138.4274,0.40447,0.0588,0.0178
1327678662319775,34.5047,138.5232,0.40461,0.0557,0.0179
1327678662821781,34.7242,138.6225,0.40574,0.0529,0.0173
1327678663322771,34.9478,138.7220,0.41305,0.0500,0.0173
1327678663823765,35.1668,138.8221,0.42147,0.0504,0.0174
1327678664325772,35.3870,138.9209,0.41837,0.0527,0.0170
1327678664826764,35.6129,139.0249,0.42169,0.0529,0.0178
1327678665328770,35.8343,139.1304,0.43407,0.0537,0.0181
1327678665829761,36.0529,139.2358,0.43761,0.0496,0.0169
1327678666330753,36.2749,139.3431,0.43657,0.0500,0.0170
1327678666832760,36.4968,139.4537,0.43631,0.0500,0.0168
1327678667333753,36.7151,139.5607,0.43669,0.0493,0.0176
1327678667835759,36.9401,139.6686,0.43914,0.0521,0.0172
1327678668336751,37.1603,139.7766,0.44181,0.0514,0.0175
1327678668837745,37.3806,139.8834,0.43976,0.0504,0.0173
1327678669339756,37.6029,139.9947,0.43608,0.0465,0.0162
1327678669840743,37.8213,140.1057,0.46084,0.0446,0.0171
1327678670341731,38.0331,140.2260,0.55660,0.0461,0.0162
1327678670843741,38.2306,140.3750,0.69117,0.0426,0.0153
1327678671344733,38.4080,140.5466,0.83717,0.0419,0.0149
1327678671846736,38.5580,140.7423,0.98033,0.0402,0.0151
1327678672347733,38.6781,140.9542,1.12047,0.0383,0.0143
1327678672898720,38.7753,141.2032,1.27372,0.0388,0.0156
1327678673500724,38.8349,141.4883,1.45134,0.0397,0.0177
1327678674052729,38.8414,141.7586,1.61875,0.0405,0.0188
